[INFO ] [2021-06-19 21:17:40,280] Pre-Condition: Open browser 'chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-06-19 21:17:47,049] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-06-19 21:17:47,275]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:17:47,278] User_01_Register - Step 02: Click to Register link
[INFO ] [2021-06-19 21:17:48,909] User_01_Register - Step 03: Click to Male radio button
[INFO ] [2021-06-19 21:17:49,028] User_01_Register - Step 04: Enter to Firstname textbox
[INFO ] [2021-06-19 21:17:49,230] User_01_Register - Step 05: Enter to Lastname textbox
[INFO ] [2021-06-19 21:17:54,424] User_01_Register - Step 06: Enter to Email textbox with value testing22963@live.com
[INFO ] [2021-06-19 21:17:54,625] User_01_Register - Step 07: Enter to Password textbox with value 123456
[INFO ] [2021-06-19 21:17:54,838] User_01_Register - Step 08: Enter to Confirm Password textbox with value 123456
[INFO ] [2021-06-19 21:17:55,005] User_01_Register - Step 09: Click to Register button
[INFO ] [2021-06-19 21:17:57,312] User_01_Register - Step 10: Verify success message displayed
[INFO ] [2021-06-19 21:17:57,382]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:17:57,382] User_01_Register - Step 11: Click to Logout  link
[INFO ] [2021-06-19 21:17:59,137] User_01_Register - Step 12: Verify Home Page displayed
[INFO ] [2021-06-19 21:17:59,205]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:17:59,209] User_02_Login - Step 01: Click to Login link
[INFO ] [2021-06-19 21:18:00,366] User_02_Login - Step 02: Enter to Email textbox with value testing22963@live.com
[INFO ] [2021-06-19 21:18:00,523] User_02_Login - Step 03: Enter to Password textbox with value 123456
[INFO ] [2021-06-19 21:18:00,678] User_02_Login - Step 04: Click to Login button
[INFO ] [2021-06-19 21:18:02,288] User_02_Login - Step 05: Verify Home Page displayed
[INFO ] [2021-06-19 21:18:02,350]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:18:02,353] Post-Condition: Close browser
[INFO ] [2021-06-19 21:20:31,712] Pre-Condition: Open browser 'chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-06-19 21:22:07,298] Pre-Condition: Open browser 'chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-06-19 21:22:16,055] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-06-19 21:22:16,303]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:22:16,305] User_01_Register - Step 02: Click to Register link
[INFO ] [2021-06-19 21:22:17,953] User_01_Register - Step 03: Click to Male radio button
[INFO ] [2021-06-19 21:22:18,068] User_01_Register - Step 04: Enter to Firstname textbox
[INFO ] [2021-06-19 21:22:18,278] User_01_Register - Step 05: Enter to Lastname textbox
[INFO ] [2021-06-19 21:22:18,451] User_01_Register - Step 06: Enter to Email textbox with value testing52320@live.com
[INFO ] [2021-06-19 21:22:18,643] User_01_Register - Step 07: Enter to Password textbox with value 123456
[INFO ] [2021-06-19 21:22:18,830] User_01_Register - Step 08: Enter to Confirm Password textbox with value 123456
[INFO ] [2021-06-19 21:22:19,001] User_01_Register - Step 09: Click to Register button
[INFO ] [2021-06-19 21:22:21,115] User_01_Register - Step 10: Verify success message displayed
[INFO ] [2021-06-19 21:22:21,189]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:22:21,189] User_01_Register - Step 11: Click to Logout  link
[INFO ] [2021-06-19 21:22:22,984] User_01_Register - Step 12: Verify Home Page displayed
[INFO ] [2021-06-19 21:22:23,065]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:22:23,070] User_02_Login - Step 01: Click to Login link
[INFO ] [2021-06-19 21:22:24,238] User_02_Login - Step 02: Enter to Email textbox with value testing52320@live.com
[INFO ] [2021-06-19 21:22:24,429] User_02_Login - Step 03: Enter to Password textbox with value 123456
[INFO ] [2021-06-19 21:22:29,620] User_02_Login - Step 04: Click to Login button
[INFO ] [2021-06-19 21:22:32,082] User_02_Login - Step 05: Verify Home Page displayed
[INFO ] [2021-06-19 21:22:32,143]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-19 21:22:32,145] Post-Condition: Close browser
[INFO ] [2021-06-20 00:13:10,410] Pre-Condition: Open browser 'chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-06-20 00:13:20,923] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-06-20 00:13:21,262]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-20 00:13:21,265] User_01_Register - Step 02: Click to Register link
[INFO ] [2021-06-20 00:13:22,755] User_01_Register - Step 03: Click to Male radio button
[INFO ] [2021-06-20 00:13:22,870] User_01_Register - Step 04: Enter to Firstname textbox
[INFO ] [2021-06-20 00:13:23,076] User_01_Register - Step 05: Enter to Lastname textbox
[INFO ] [2021-06-20 00:13:23,269] User_01_Register - Step 06: Enter to Email textbox with value testing20114@live.com
[INFO ] [2021-06-20 00:13:23,457] User_01_Register - Step 07: Enter to Password textbox with value 123456
[INFO ] [2021-06-20 00:13:23,627] User_01_Register - Step 08: Enter to Confirm Password textbox with value 123456
[INFO ] [2021-06-20 00:13:23,802] User_01_Register - Step 09: Click to Register button
[INFO ] [2021-06-20 00:13:26,087] User_01_Register - Step 10: Verify success message displayed
[INFO ] [2021-06-20 00:13:26,164]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-20 00:13:26,165] User_01_Register - Step 11: Click to Logout  link
[INFO ] [2021-06-20 00:13:28,489] User_01_Register - Step 12: Verify Home Page displayed
[INFO ] [2021-06-20 00:13:28,553]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-20 00:13:28,560] User_02_Login - Step 01: Click to Login link
[INFO ] [2021-06-20 00:13:29,134] User_02_Login - Step 02: Enter to Email textbox with value testing20114@live.com
[INFO ] [2021-06-20 00:13:29,310] User_02_Login - Step 03: Enter to Password textbox with value 123456
[INFO ] [2021-06-20 00:13:29,477] User_02_Login - Step 04: Click to Login button
[INFO ] [2021-06-20 00:13:31,180] User_02_Login - Step 05: Verify Home Page displayed
[INFO ] [2021-06-20 00:13:31,258]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-20 00:13:31,261] Post-Condition: Close browser
[INFO ] [2021-06-20 22:45:03,917] Pre-Condition: Open browser 'chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-06-20 22:45:16,131] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-06-20 22:45:16,322]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-20 22:45:16,324] User_01_Register - Step 02: Click to Register link
[INFO ] [2021-06-20 22:45:17,916] User_01_Register - Step 03: Click to Male radio button
[INFO ] [2021-06-20 22:45:18,033] User_01_Register - Step 04: Enter to Firstname textbox
[INFO ] [2021-06-20 22:45:18,255] User_01_Register - Step 05: Enter to Lastname textbox
[INFO ] [2021-06-20 22:45:18,428] User_01_Register - Step 06: Enter to Email textbox with value testing67316@live.com
[INFO ] [2021-06-20 22:45:18,617] User_01_Register - Step 07: Enter to Password textbox with value 123456
[INFO ] [2021-06-20 22:45:18,796] User_01_Register - Step 08: Enter to Confirm Password textbox with value 123456
[INFO ] [2021-06-20 22:45:18,970] User_01_Register - Step 09: Click to Register button
[INFO ] [2021-06-20 22:45:21,112] User_01_Register - Step 10: Verify success message displayed
[INFO ] [2021-06-20 22:45:21,195]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-06-20 22:45:21,196] User_01_Register - Step 11: Click to Logout  link
[INFO ] [2021-06-20 22:45:22,167] User_01_Register - Step 12: Verify Home Page displayed
